year,geo_name,geo,propertyval_100kto125k,propertyval_100kto125k_moe,propertyval_10kto15k,propertyval_10kto15k_moe,propertyval_125kto150k,propertyval_125kto150k_moe,propertyval_150kto175k,propertyval_150kto175k_moe,propertyval_15kto20k,propertyval_15kto20k_moe,propertyval_175kto200k,propertyval_175kto200k_moe,propertyval_1Mormore,propertyval_1Mormore_moe,propertyval_200kto250k,propertyval_200kto250k_moe,propertyval_20kto25k,propertyval_20kto25k_moe,propertyval_250kto300k,propertyval_250kto300k_moe,propertyval_25kto30k,propertyval_25kto30k_moe,propertyval_300kto400k,propertyval_300kto400k_moe,propertyval_30kto35k,propertyval_30kto35k_moe,propertyval_35kto40k,propertyval_35kto40k_moe,propertyval_400kto500k,propertyval_400kto500k_moe,propertyval_40kto50k,propertyval_40kto50k_moe,propertyval_500kto750k,propertyval_500kto750k_moe,propertyval_50kto60k,propertyval_50kto60k_moe,propertyval_60kto70k,propertyval_60kto70k_moe,propertyval_70kto80k,propertyval_70kto80k_moe,propertyval_750kto1M,propertyval_750kto1M_moe,propertyval_80kto90k,propertyval_80kto90k_moe,propertyval_90kto100k,propertyval_90kto100k_moe,propertyval_less10k,propertyval_less10k_moe,total_owner_occupied_housin_units,total_owner_occupied_housin_units_moe
2013,"United States","01000US",6452180.0,33798.0,755972.0,7318.0,5598560.0,28530.0,6754950.0,36008.0,678365.0,5597.0,4649350.0,27462.0,1553510.0,8037.0,7819440.0,42628.0,688980.0,6154.0,5954390.0,33049.0,626356.0,5540.0,7644270.0,39253.0,756882.0,6252.0,554096.0,5382.0,4081570.0,20650.0,1447810.0,7881.0,4523860.0,21984.0,1777710.0,11286.0,2064490.0,13607.0,2416060.0,13282.0,1617640.0,9117.0,2850620.0,17737.0,2558420.0,17578.0,1250220.0,10152.0,75075700.0,345645.0
2014,"United States","01000US",6395160.0,30203.0,743541.0,6506.0,5580960.0,31168.0,6711400.0,33259.0,664268.0,5792.0,4601820.0,27632.0,1572710.0,7745.0,7716110.0,39833.0,683450.0,6353.0,5903140.0,32965.0,620210.0,5621.0,7571560.0,37913.0,756599.0,6576.0,553904.0,5518.0,4043960.0,20397.0,1453080.0,9876.0,4480010.0,19538.0,1790360.0,11775.0,2074340.0,14132.0,2417620.0,15140.0,1624300.0,9513.0,2842540.0,16318.0,2528630.0,17419.0,1457800.0,13399.0,74787500.0,343068.0
2015,"United States","01000US",6275740.0,30901.0,705869.0,6388.0,5528330.0,30159.0,6659970.0,36221.0,629841.0,6142.0,4584400.0,27035.0,1670500.0,8242.9,7692490.0,42316.0,659945.0,5495.0,5945180.0,33560.0,601605.0,5044.0,7674800.0,38859.0,739249.0,6718.0,546091.0,4633.0,4148190.0,20530.0,1425950.0,9632.0,4602190.0,21821.0,1769880.0,10010.0,2055530.0,12868.0,2374300.0,14562.0,1700050.0,10155.0,2794940.0,18284.0,2466860.0,16511.0,1460220.0,13521.0,74712100.0,353420.0
2013,"Chelsea, MA","16000US2513205",179.0,112.0,0.0,26.0,107.0,65.0,206.0,83.0,0.0,26.0,207.0,103.0,6.0,10.0,650.0,162.0,0.0,26.0,396.0,118.0,16.0,18.0,950.0,172.0,0.0,26.0,0.0,26.0,185.0,68.0,9.0,15.0,104.0,63.0,0.0,26.0,4.0,6.0,0.0,26.0,18.0,29.0,34.0,31.0,82.0,53.0,9.0,13.0,3162.0,349.0
2014,"Chelsea, MA","16000US2513205",138.0,103.0,0.0,26.0,126.0,75.0,224.0,95.0,4.0,7.0,218.0,98.0,9.0,13.0,645.0,163.0,0.0,26.0,499.0,128.0,15.0,17.0,912.0,182.0,0.0,26.0,4.0,6.0,230.0,78.0,6.0,8.0,123.0,69.0,0.0,26.0,13.0,15.0,0.0,26.0,0.0,26.0,37.0,43.0,92.0,60.0,27.0,25.0,3322.0,300.0
2015,"Chelsea, MA","16000US2513205",100.0,83.0,0.0,25.0,128.0,77.0,242.0,101.0,6.0,10.0,181.0,95.0,8.0,37.3363,600.0,161.0,0.0,25.0,589.0,156.0,14.0,15.0,953.0,210.0,0.0,25.0,5.0,7.0,309.0,109.0,0.0,25.0,127.0,62.0,0.0,25.0,10.0,13.0,0.0,25.0,15.0,23.0,68.0,57.0,57.0,44.0,22.0,22.0,3434.0,305.0
