year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2014,"Massachusetts","04000US25","Turkey","243",6184,2163.05,2.35087
2014,"Massachusetts","04000US25","United Arab Emirates","245",2752,2792.38,5.79032
2014,"Massachusetts","04000US25","Uzbekistan","246",1399,967.759,1.22769
2014,"Massachusetts","04000US25","Vietnam","247",34542,5022.99,1.21555
2014,"Massachusetts","04000US25","Asia","249",1147,833.085,0.91232
2014,"Massachusetts","04000US25","South Central Asia - Not Specified","253",566,435.533,1.60701
2014,"Massachusetts","04000US25","Other Asia - Not Specified","254",57,98.5752,0.105681
2014,"Massachusetts","04000US25","Bermuda","300",1400,1175.08,4.0643
2014,"Massachusetts","04000US25","Canada","301",33488,3598.18,1.69487
2014,"Massachusetts","04000US25","Mexico","303",10789,2695.16,0.0423674
2014,"Massachusetts","04000US25","Costa Rica","311",601,420.69,0.320039
2014,"Massachusetts","04000US25","El Salvador","312",33015,5736.31,1.16089
2014,"Massachusetts","04000US25","Guatemala","313",35667,6214.1,1.80033
2014,"Massachusetts","04000US25","Honduras","314",11203,3193.31,0.912887
2014,"Massachusetts","04000US25","Nicaragua","315",1360,983.039,0.254266
2014,"Massachusetts","04000US25","Panama","316",1829,858.653,0.542218
2014,"Massachusetts","04000US25","Bahamas","323",196,248.311,0.257625
2014,"Massachusetts","04000US25","Barbados","324",4570,1795.5,4.37359
2014,"Massachusetts","04000US25","Cuba","327",3582,1107.44,0.140508
2014,"Massachusetts","04000US25","Dominica","328",1968,1273.23,2.96601
2014,"Massachusetts","04000US25","Dominican Republic","329",80715,7386.04,3.67802
2014,"Massachusetts","04000US25","Grenada","330",612,567.905,0.78372
2014,"Massachusetts","04000US25","Haiti","332",48564,6738.68,3.60251
2014,"Massachusetts","04000US25","Jamaica","333",16924,3074.2,1.07658
2014,"Massachusetts","04000US25","St. Lucia","339",219,190.043,0.453498
2014,"Massachusetts","04000US25","St. Vincent & the Grenadines","340",401,560.791,0.72742
2014,"Massachusetts","04000US25","Trinidad & Tobago","341",6158,2122.97,1.32503
2014,"Massachusetts","04000US25","West Indies","343",1018,707.07,1.66916
2014,"Massachusetts","04000US25","Caribbean- Not Specified","344",2442,1439.05,2.78383
2014,"Massachusetts","04000US25","Argentina","360",2981,1134.23,0.734403
2014,"Massachusetts","04000US25","Bolivia","361",911,961.871,0.54982
2014,"Massachusetts","04000US25","Brazil","362",58591,7930.72,7.69714
2014,"Massachusetts","04000US25","Chile","363",4636,2039.26,2.13407
2014,"Massachusetts","04000US25","Colombia","364",22804,3996.35,1.48918
2014,"Massachusetts","04000US25","Ecuador","365",6592,2919.03,0.71822
2014,"Massachusetts","04000US25","Guyana","368",3434,1701.75,0.576551
2014,"Massachusetts","04000US25","Paraguay","369",56,90.7162,0.106579
2014,"Massachusetts","04000US25","Peru","370",6894,2660.33,0.706989
2014,"Massachusetts","04000US25","Uruguay","372",2748,1785.17,2.40861
2014,"Massachusetts","04000US25","Venezuela","373",4754,1580.95,0.920583
2014,"Massachusetts","04000US25","Americas- Not Specified","399",968,953.941,3.26351
2014,"Massachusetts","04000US25","Algeria","400",1390,945.599,3.00417
2014,"Massachusetts","04000US25","Cameroon","407",2254,1147.24,2.10165
2014,"Massachusetts","04000US25","Cape Verde","408",26202,4602.05,31.973
2014,"Massachusetts","04000US25","Congo","412",645,623.764,1.71848
2014,"Massachusetts","04000US25","Egypt","414",6464,2202.95,1.77018
2014,"Massachusetts","04000US25","Ethiopia","416",4602,1639.09,1.0082
2014,"Massachusetts","04000US25","Eritrea","417",181,305.035,0.219949
2014,"Massachusetts","04000US25","Ghana","421",6839,1879.92,2.08817
2014,"Massachusetts","04000US25","Guinea","423",374,531.205,1.33523
2014,"Massachusetts","04000US25","Kenya","427",10660,3840.0,3.666
2014,"Massachusetts","04000US25","Liberia","429",3417,1897.39,1.90471
2014,"Massachusetts","04000US25","Libya","430",314,267.915,1.02751
2014,"Massachusetts","04000US25","Morocco","436",6902,2414.13,4.18803
2014,"Massachusetts","04000US25","Nigeria","440",7455,2569.59,1.28279
2014,"Massachusetts","04000US25","Senegal","444",867,506.385,1.52181
2014,"Massachusetts","04000US25","Sierra Leone","447",1005,980.669,1.3971
2014,"Massachusetts","04000US25","Somalia","448",5161,2682.61,2.44726
2014,"Massachusetts","04000US25","South Africa","449",2080,804.215,1.01197
2014,"Massachusetts","04000US25","Sudan","451",264,431.333,0.357336
2014,"Massachusetts","04000US25","Tanzania","453",1572,987.746,3.61628
2014,"Massachusetts","04000US25","Togo","454",339,384.078,0.839325
2014,"Massachusetts","04000US25","Uganda","457",5270,3069.16,8.20309
2014,"Massachusetts","04000US25","Democratic Republic of Congo (Zaire)","459",678,705.673,1.26717
2014,"Massachusetts","04000US25","Zambia","460",83,134.263,0.412938
2014,"Massachusetts","04000US25","Zimbabwe","461",783,540.94,1.8486
2014,"Massachusetts","04000US25","Africa","462",4565,2224.43,1.79828
