year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2013,"Carr 2 (Norte) PUMA, PR","79500US7200301",64804.0,131154.0,64804.0,1855.0,131154.0,385.0
2015,"Hunts Point, Longwood & Melrose PUMA, NY","79500US3603710",64169.0,148884.0,64169.0,2781.0,148884.0,2412.0
2014,"Carr 14-Carr 173 PUMA, PR","79500US7200602",63493.0,143127.0,63493.0,2350.0,143127.0,125.0
2014,"Hunts Point, Longwood & Melrose PUMA, NY","79500US3603710",62795.0,146792.0,62795.0,2647.0,146792.0,2744.0
2013,"Cleveland City (East) & Bratenahl Village PUMA, OH","79500US3900908",62651.0,166531.0,62651.0,2557.0,166531.0,2201.0
2013,"Carr 14-Carr 173 PUMA, PR","79500US7200602",62643.0,144490.0,62643.0,2277.0,144490.0,138.0
2014,"Cleveland City (East) & Bratenahl Village PUMA, OH","79500US3900908",62525.0,162743.0,62525.0,1972.0,162743.0,2204.0
2015,"Carr 14-Carr 173 PUMA, PR","79500US7200602",62350.0,141116.0,62350.0,1999.0,141116.0,143.0
2015,"Detroit City (Northwest) PUMA, MI","79500US2603208",61968.0,159006.0,61968.0,3117.0,159006.0,3031.0
2014,"Detroit City (Northwest) PUMA, MI","79500US2603208",61136.0,158267.0,61136.0,2793.0,158267.0,2621.0
2015,"South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA, IL","79500US1703529",60559.0,175828.0,60559.0,2237.0,175828.0,2793.0
2013,"Hunts Point, Longwood & Melrose PUMA, NY","79500US3603710",60491.0,144145.0,60491.0,2406.0,144145.0,3131.0
2015,"LA City (South Central/Watts) PUMA, CA","79500US0603751",60399.0,154690.0,60399.0,2570.0,154690.0,2719.0
2015,"Cleveland City (East) & Bratenahl Village PUMA, OH","79500US3900908",60259.0,157056.0,60259.0,2082.0,157056.0,1815.0
2015,"Fresno City (Southwest) PUMA, CA","79500US0601904",60243.0,167505.0,60243.0,2987.0,167505.0,2535.0
2014,"Fresno City (Southwest) PUMA, CA","79500US0601904",59581.0,165795.0,59581.0,2875.0,165795.0,2501.0
2014,"LA City (South Central/Watts) PUMA, CA","79500US0603751",59236.0,150261.0,59236.0,2579.0,150261.0,2883.0
2013,"Detroit City (Northwest) PUMA, MI","79500US2603208",59162.0,159313.0,59162.0,2958.0,159313.0,2925.0
2013,"Mayagüez, Hormigueros, Las Marías & Maricao Municipios--Carr 2 (Suroeste) PUMA","79500US7200202",58857.0,119041.0,58857.0,1636.0,119041.0,421.0
2014,"Carr 852-Carr 185 PUMA, PR","79500US7200902",58751.0,153474.0,58751.0,1941.0,153474.0,679.0
2014,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA","79500US0603734",58681.0,195407.0,58681.0,2884.0,195407.0,2773.0
2014,"South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA, IL","79500US1703529",58475.0,173795.0,58475.0,2443.0,173795.0,2704.0
2015,"Navajo & Apache Counties PUMA, AZ","79500US0400300",57993.0,175588.0,57993.0,1756.0,175588.0,416.0
2015,"Humacao, Yabucoa & Naguabo Municipios--Carr 53 PUMA","79500US7201102",57993.0,118704.0,57993.0,2226.0,118704.0,194.0
2013,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA","79500US0603734",57919.0,194012.0,57919.0,2427.0,194012.0,2474.0
