year,geo_name,geo,pop_2ormore,pop_asian,pop_black,pop_hawaiian,pop_latino,pop_native,pop_other,pop_white
2013,Boston City--Mattapan & Roxbury PUMA,79500US2503304,2559,4240,73192,19,30134,386,3002,14664
2014,Boston City--Mattapan & Roxbury PUMA,79500US2503304,2684,3998,73941,23,30980,445,2767,15651
2015,Boston City--Mattapan & Roxbury PUMA,79500US2503304,2734,4671,74715,27,32156,349,2828,15153
