year,geo_name,geo,income_100to125,income_100to125_moe,income_10to15,income_10to15_moe,income_125to150,income_125to150_moe,income_150to200,income_150to200_moe,income_15to20,income_15to20_moe,income_200over,income_200over_moe,income_20to25,income_20to25_moe,income_25to30,income_25to30_moe,income_30to35,income_30to35_moe,income_35to40,income_35to40_moe,income_40to45,income_40to45_moe,income_45to50,income_45to50_moe,income_50to60,income_50to60_moe,income_60to75,income_60to75_moe,income_75to100,income_75to100_moe,income_under10,income_under10_moe,totalhouseholds,totalhouseholds_moe
2013,"United States","01000US",9285900.0,44286.0,6214550.0,16925.0,5572340.0,31574.0,5651850.0,31873.0,6236900.0,17145.0,5532630.0,32847.0,6231710.0,17720.0,5929560.0,13959.0,6000200.0,15506.0,5410070.0,15256.0,5465380.0,13996.0,4847700.0,14804.0,9249960.0,20676.0,11494100.0,28808.0,14107000.0,52951.0,8380360.0,19177.0,115610000.0,238223.0
2014,"United States","01000US",9410150.0,45348.0,6189390.0,15777.0,5713600.0,31533.0,5857720.0,33034.0,6225980.0,18669.0,5845380.0,32351.0,6176940.0,17017.0,5936980.0,15704.0,5933730.0,15137.0,5456900.0,15294.0,5431370.0,14063.0,4792870.0,14866.0,9179220.0,24284.0,11540100.0,29474.0,14125400.0,47784.0,8395340.0,16627.0,116211000.0,230463.0
2015,"United States","01000US",9581180.0,47995.0,6161480.0,15350.0,5775360.0,31309.0,6010420.0,32124.0,6139640.0,16066.0,6139040.0,32967.0,6227520.0,15413.0,5852050.0,17935.0,5951930.0,15584.0,5436930.0,15238.0,5428390.0,16329.0,4807120.0,14457.0,9192920.0,22197.0,11634300.0,35808.0,14166500.0,49496.0,8421480.0,18763.0,116926000.0,226951.0
2013,"Boston City--Mattapan & Roxbury PUMA","79500US2503304",2659.0,373.0,4733.0,437.0,1272.0,215.0,984.0,211.0,3544.0,352.0,505.0,121.0,2745.0,365.0,2319.0,316.0,2098.0,325.0,2214.0,309.0,1927.0,298.0,1883.0,262.0,3180.0,321.0,3173.0,377.0,3658.0,380.0,8535.0,467.0,45429.0,690.0
2014,"Boston City--Mattapan & Roxbury PUMA","79500US2503304",2461.0,323.0,5198.0,398.0,1215.0,233.0,1234.0,230.0,3485.0,388.0,568.0,149.0,3109.0,333.0,2418.0,316.0,2123.0,288.0,1999.0,312.0,2119.0,326.0,1636.0,274.0,3404.0,366.0,3160.0,379.0,3639.0,426.0,8648.0,668.0,46416.0,752.0
2015,"Boston City--Mattapan & Roxbury PUMA","79500US2503304",2557.0,316.0,5380.0,459.0,1335.0,260.0,1095.0,223.0,3328.0,374.0,655.0,150.0,3252.0,352.0,2412.0,316.0,2253.0,307.0,2186.0,302.0,2165.0,343.0,1642.0,236.0,3401.0,340.0,3437.0,404.0,3501.0,286.0,8863.0,630.0,47462.0,647.0
